51059461201.00,Fairfax County,Virginia,4424,2.6,217000,1
51059461802.00,Fairfax County,Virginia,5167,5.9,130171,1
51059470100.00,Fairfax County,Virginia,2732,0.6,250001,1
51059470300.00,Fairfax County,Virginia,3253,1.9,237841,1
51059470400.00,Fairfax County,Virginia,4843,2.4,245903,1
51059470500.00,Fairfax County,Virginia,5403,3.7,250001,1
51059470800.00,Fairfax County,Virginia,2988,3.8,200000,1
51059470900.00,Fairfax County,Virginia,7263,1.7,234375,1
51059480100.00,Fairfax County,Virginia,4239,3.2,237857,1
51059480201.00,Fairfax County,Virginia,4592,3.1,250001,1
51059480300.00,Fairfax County,Virginia,7105,4,250001,1
51059480401.00,Fairfax County,Virginia,4526,2.6,224559,1
51059480402.00,Fairfax County,Virginia,5936,2.7,239375,1
51059480501.00,Fairfax County,Virginia,3604,2.3,235982,1
51059480502.00,Fairfax County,Virginia,5784,0.7,176944,1
51059480503.00,Fairfax County,Virginia,3401,1,165977,1
51059481400.00,Fairfax County,Virginia,6298,4.5,144821,1
51059481500.00,Fairfax County,Virginia,2289,2.9,198068,1
51059481600.00,Fairfax County,Virginia,3392,4.9,250001,1
51059481701.00,Fairfax County,Virginia,6078,1.4,208649,1
51059481702.00,Fairfax County,Virginia,4136,5,133375,1
51059482001.00,Fairfax County,Virginia,4801,2.3,188984,1
51059482400.00,Fairfax County,Virginia,2378,3.1,226761,1
51059482504.00,Fairfax County,Virginia,5416,2.7,210800,1
51059482602.00,Fairfax County,Virginia,6971,2.3,185137,1
51059490502.00,Fairfax County,Virginia,6312,1.2,203921,1
51059491101.00,Fairfax County,Virginia,3847,3.3,187794,1
51059491102.00,Fairfax County,Virginia,3507,2,156146,1
51059491403.00,Fairfax County,Virginia,3689,2.8,203438,1
51059491404.00,Fairfax County,Virginia,3960,1.9,149643,1
51059491405.00,Fairfax County,Virginia,2790,1.7,217917,1
51059491502.00,Fairfax County,Virginia,7079,1.5,192050,1
51059492000.00,Fairfax County,Virginia,6449,1.8,248672,1
51059492100.00,Fairfax County,Virginia,6313,2.6,214717,1
51059492202.00,Fairfax County,Virginia,6844,0.8,196042,1
51059492203.00,Fairfax County,Virginia,4065,1,217292,1
51059492300.00,Fairfax County,Virginia,3330,3.2,140250,1
51059492400.00,Fairfax County,Virginia,4603,4.8,125682,1
